i,j,@am2,@art,@htkad,@htvol,@hvol,@lanem,@mb,@md1,@mtkad,@mtvol,@noht,@pm2,@rtpar,@rtpth,@speed,@svol,@tknet,@tkpth,@trkad,@trkvl,@zone,additional_volume,auto_time,auto_volume,aux_transit_volume,data1,data2,data3,length,num_lanes,type,vertices,volume_delay_func,@urbrur,@divhwy,@waterf,@noisef
1,11608,0,0,0.0,0.0,0.0,0,99999,0,0.0,0.0,0,0,0,0,12,0.0,0,0.0,0.0,0.0,1,0,-1.0,0.0,261.2483215,0,0.0,99999,0.050000001,0.0,99,[],0,1,0,1.0,1.0
1,11610,0,0,0.0,0.0,0.0,0,99999,0,0.0,0.0,0,0,0,0,12,0.0,0,0.0,0.0,0.0,1,0,-1.0,0.0,258.3253174,0,0.0,99999,0.050000001,0.0,99,[],0,1,0,1.0,1.0
1,11612,0,0,0.0,0.0,0.0,0,99999,0,0.0,0.0,0,0,0,0,12,0.0,0,0.0,0.0,0.0,1,0,-1.0,0.0,281.0499268,0,0.0,99999,0.050000001,0.0,99,[],0,1,0,1.0,1.0
1,11617,0,0,0.0,0.0,0.0,0,99999,0,0.0,0.0,0,0,0,0,12,0.0,0,0.0,0.0,0.0,1,0,-1.0,0.0,317.4554138,0,0.0,99999,0.050000001,0.0,99,[],0,1,0,1.0,1.0
1,11618,0,0,0.0,0.0,0.0,0,99999,0,0.0,0.0,0,0,0,0,12,0.0,0,0.0,0.0,0.0,1,0,-1.0,0.0,226.6293182,0,0.0,99999,0.050000001,0.0,99,[],0,1,0,1.0,1.0
1,11630,0,0,0.0,0.0,0.0,0,99999,0,0.0,0.0,0,0,0,0,12,0.0,0,0.0,0.0,0.0,1,0,-1.0,0.0,258.5885315,0,0.0,99999,0.050000001,0.0,99,[],0,1,0,1.0,1.0
1,11634,0,0,0.0,0.0,0.0,0,99999,0,0.0,0.0,0,0,0,0,12,0.0,0,0.0,0.0,0.0,1,0,-1.0,0.0,483.379425,0,0.0,99999,0.050000001,0.0,99,[],0,1,0,1.0,1.0
1,11742,0,0,0.0,0.0,0.0,0,99999,0,0.0,0.0,0,0,0,0,12,0.0,0,0.0,0.0,0.0,1,0,-1.0,0.0,388.9012756,0,0.0,99999,0.050000001,0.0,99,[],0,1,0,1.0,1.0
1,17192,0,0,0.0,0.134713873,479.1702271,0,99999,0,0.0,7.113179684,0,0,0,0,12,1265.989136,0,0.0,0.0,11.2010479,1,0,0.250250816,1752.407227,169.0421143,0,3.0,99999,0.050000001,9.0,99,[],14,1,0,1.0,1.0
1,31251,0,0,0.0,0.0,290.2354126,0,99999,0,0.0,9.526520729,0,0,0,0,12,764.2416382,0,0.0,0.0,8.940444946,1,0,0.250135422,1064.003662,249.7645874,0,3.0,99999,0.050000001,9.0,99,[],14,1,0,1.0,1.0
1,65001,0,0,0.0,0.0,0.0,0,99999,0,0.0,0.0,0,0,0,0,12,0.0,0,0.0,0.0,0.0,1,0,-1.0,0.0,429.7795105,0,0.0,99999,0.050000001,0.0,99,[],0,1,0,1.0,1.0
1,65002,0,0,0.0,0.0,0.0,0,99999,0,0.0,0.0,0,0,0,0,12,0.0,0,0.0,0.0,0.0,1,0,-1.0,0.0,282.4125366,0,0.0,99999,0.050000001,0.0,99,[],0,1,0,1.0,1.0
1,65008,0,0,0.0,0.0,0.0,0,99999,0,0.0,0.0,0,0,0,0,12,0.0,0,0.0,0.0,0.0,1,0,-1.0,0.0,345.166687,0,0.0,99999,0.050000001,0.0,99,[],0,1,0,1.0,1.0
1,65009,0,0,0.0,0.0,0.0,0,99999,0,0.0,0.0,0,0,0,0,12,0.0,0,0.0,0.0,0.0,1,0,-1.0,0.0,248.2095795,0,0.0,99999,0.050000001,0.0,99,[],0,1,0,1.0,1.0
2,11606,0,0,0.0,0.081601188,437.3706055,0,99999,0,0.0,10.13177872,0,0,0,0,12,1058.4552,0,0.0,0.0,9.422269821,2,0,0.250209451,1506.038818,0.0,0,3.0,99999,0.050000001,9.0,99,[],14,1,0,1.0,1.0
2,11609,0,0,0.0,0.0,0.0,0,99999,0,0.0,0.0,0,0,0,0,12,0.0,0,0.0,0.0,0.0,2,0,-1.0,0.0,1191.821777,0,0.0,99999,0.050000001,9.0,99,[],0,1,0,1.0,1.0
2,11753,0,0,0.0,0.0,0.0,0,99999,0,0.0,0.0,0,0,0,0,12,0.0,0,0.0,0.0,0.0,2,0,-1.0,0.0,1020.235229,0,0.0,99999,0.050000001,9.0,99,[],0,1,0,1.0,1.0
2,17009,0,0,0.0,0.072135918,326.7084351,0,99999,0,0.0,8.576635361,0,0,0,0,12,1005.255493,0,0.0,0.0,11.4574852,2,0,0.250181675,1340.612671,0.0,0,3.0,99999,0.050000001,9.0,99,[],14,1,0,1.0,1.0
2,22019,0,0,0.0,0.0,0.0,0,99999,0,0.0,0.0,0,0,0,0,12,0.0,0,0.0,0.0,0.0,2,0,-1.0,0.0,0.0,0,0.0,99999,0.050000001,9.0,99,[],0,1,0,1.0,1.0
2,65002,0,0,0.0,0.0,0.0,0,99999,0,0.0,0.0,0,0,0,0,12,0.0,0,0.0,0.0,0.0,1,0,-1.0,0.0,1105.524414,0,0.0,99999,0.050000001,0.0,99,[],0,1,0,1.0,1.0
2,65008,0,0,0.0,0.0,0.0,0,99999,0,0.0,0.0,0,0,0,0,12,0.0,0,0.0,0.0,0.0,1,0,-1.0,0.0,1274.10791,0,0.0,99999,0.050000001,0.0,99,[],0,1,0,1.0,1.0
