i,j,@am2,@art,@htkad,@htvol,@hvol,@lanem,@mb,@md1,@mtkad,@mtvol,@noht,@pm2,@rtpar,@rtpth,@speed,@svol,@tknet,@tkpth,@trkad,@trkvl,@zone,additional_volume,auto_time,auto_volume,aux_transit_volume,data1,data2,data3,length,num_lanes,type,vertices,volume_delay_func,@urbrur,@divhwy,@waterf,@noisef
1,11608,0,0,0.0,0.0,0.0,0,99999,0,0.0,0.0,0,0,0,0,12,0.0,0,0.0,0.0,0.0,1,0,-1.0,0.0,37.11209869,0,0.0,99999,0.050000001,0.0,99,[],0,1,0,1.0,1.0
1,11610,0,0,0.0,0.0,0.0,0,99999,0,0.0,0.0,0,0,0,0,12,0.0,0,0.0,0.0,0.0,1,0,-1.0,0.0,45.51822281,0,0.0,99999,0.050000001,0.0,99,[],0,1,0,1.0,1.0
1,11612,0,0,0.0,0.0,0.0,0,99999,0,0.0,0.0,0,0,0,0,12,0.0,0,0.0,0.0,0.0,1,0,-1.0,0.0,39.73412704,0,0.0,99999,0.050000001,0.0,99,[],0,1,0,1.0,1.0
1,11617,0,0,0.0,0.0,0.0,0,99999,0,0.0,0.0,0,0,0,0,12,0.0,0,0.0,0.0,0.0,1,0,-1.0,0.0,44.9014473,0,0.0,99999,0.050000001,0.0,99,[],0,1,0,1.0,1.0
1,11618,0,0,0.0,0.0,0.0,0,99999,0,0.0,0.0,0,0,0,0,12,0.0,0,0.0,0.0,0.0,1,0,-1.0,0.0,36.04630661,0,0.0,99999,0.050000001,0.0,99,[],0,1,0,1.0,1.0
1,11630,0,0,0.0,0.0,0.0,0,99999,0,0.0,0.0,0,0,0,0,12,0.0,0,0.0,0.0,0.0,1,0,-1.0,0.0,43.598526,0,0.0,99999,0.050000001,0.0,99,[],0,1,0,1.0,1.0
1,11634,0,0,0.0,0.0,0.0,0,99999,0,0.0,0.0,0,0,0,0,12,0.0,0,0.0,0.0,0.0,1,0,-1.0,0.0,69.65732574,0,0.0,99999,0.050000001,0.0,99,[],0,1,0,1.0,1.0
1,11742,0,0,0.0,0.0,0.0,0,99999,0,0.0,0.0,0,0,0,0,12,0.0,0,0.0,0.0,0.0,1,0,-1.0,0.0,56.30400085,0,0.0,99999,0.050000001,0.0,99,[],0,1,0,1.0,1.0
1,17192,0,0,0.0,0.116513684,200.2959442,0,99999,0,0.0,5.952594757,0,0,0,0,12,511.8560181,0,0.0,0.0,11.2010479,1,0,0.250197709,718.2210693,28.75890732,0,3.0,99999,0.050000001,9.0,99,[],14,1,0,1.0,1.0
1,31251,0,0,0.0,0.0,127.0645142,0,99999,0,0.0,7.987401962,0,0,0,0,12,333.3134766,0,0.0,0.0,8.940444946,1,0,0.250114083,468.365387,35.11773682,0,3.0,99999,0.050000001,9.0,99,[],14,1,0,1.0,1.0
1,65001,0,0,0.0,0.0,0.0,0,99999,0,0.0,0.0,0,0,0,0,12,0.0,0,0.0,0.0,0.0,1,0,-1.0,0.0,62.24065781,0,0.0,99999,0.050000001,0.0,99,[],0,1,0,1.0,1.0
1,65002,0,0,0.0,0.0,0.0,0,99999,0,0.0,0.0,0,0,0,0,12,0.0,0,0.0,0.0,0.0,1,0,-1.0,0.0,39.39869308,0,0.0,99999,0.050000001,0.0,99,[],0,1,0,1.0,1.0
1,65008,0,0,0.0,0.0,0.0,0,99999,0,0.0,0.0,0,0,0,0,12,0.0,0,0.0,0.0,0.0,1,0,-1.0,0.0,49.23992538,0,0.0,99999,0.050000001,0.0,99,[],0,1,0,1.0,1.0
1,65009,0,0,0.0,0.0,0.0,0,99999,0,0.0,0.0,0,0,0,0,12,0.0,0,0.0,0.0,0.0,1,0,-1.0,0.0,34.4862442,0,0.0,99999,0.050000001,0.0,99,[],0,1,0,1.0,1.0
2,11606,0,0,0.0,0.075549088,172.1169128,0,99999,0,0.0,8.204723358,0,0,0,0,12,425.2543945,0,0.0,0.0,9.422269821,2,0,0.250159979,605.6516724,0.0,0,3.0,99999,0.050000001,9.0,99,[],14,1,0,1.0,1.0
2,11609,0,0,0.0,0.0,0.0,0,99999,0,0.0,0.0,0,0,0,0,12,0.0,0,0.0,0.0,0.0,2,0,-1.0,0.0,410.3096924,0,0.0,99999,0.050000001,9.0,99,[],0,1,0,1.0,1.0
2,11753,0,0,0.0,0.0,0.0,0,99999,0,0.0,0.0,0,0,0,0,12,0.0,0,0.0,0.0,0.0,2,0,-1.0,0.0,390.3791809,0,0.0,99999,0.050000001,9.0,99,[],0,1,0,1.0,1.0
2,17009,0,0,0.0,0.057417713,150.1458282,0,99999,0,0.0,7.468347549,0,0,0,0,12,408.6729431,0,0.0,0.0,11.4574852,2,0,0.250146866,566.3444824,0.0,0,3.0,99999,0.050000001,9.0,99,[],14,1,0,1.0,1.0
2,22019,0,0,0.0,0.0,0.0,0,99999,0,0.0,0.0,0,0,0,0,12,0.0,0,0.0,0.0,0.0,2,0,-1.0,0.0,0.0,0,0.0,99999,0.050000001,9.0,99,[],0,1,0,1.0,1.0
2,65002,0,0,0.0,0.0,0.0,0,99999,0,0.0,0.0,0,0,0,0,12,0.0,0,0.0,0.0,0.0,1,0,-1.0,0.0,364.3625183,0,0.0,99999,0.050000001,0.0,99,[],0,1,0,1.0,1.0
2,65008,0,0,0.0,0.0,0.0,0,99999,0,0.0,0.0,0,0,0,0,12,0.0,0,0.0,0.0,0.0,1,0,-1.0,0.0,433.2149048,0,0.0,99999,0.050000001,0.0,99,[],0,1,0,1.0,1.0
3,11609,0,0,0.0,0.0,0.0,0,99999,0,0.0,0.0,0,0,0,0,12,0.0,0,0.0,0.0,0.0,2,0,-1.0,0.0,183.8942108,0,0.0,99999,0.050000001,0.0,99,[],0,1,0,1.0,1.0
3,11627,0,0,0.0,0.0,0.0,0,99999,0,0.0,0.0,0,0,0,0,12,0.0,0,0.0,0.0,0.0,3,0,-1.0,0.0,57.85733795,0,0.0,99999,0.050000001,0.0,99,[],0,1,0,1.0,1.0
3,11753,0,0,0.0,0.0,0.0,0,99999,0,0.0,0.0,0,0,0,0,12,0.0,0,0.0,0.0,0.0,2,0,-1.0,0.0,201.8178253,0,0.0,99999,0.050000001,0.0,99,[],0,1,0,1.0,1.0
3,11760,0,0,0.0,0.0,0.0,0,99999,0,0.0,0.0,0,0,0,0,12,0.0,0,0.0,0.0,0.0,3,0,-1.0,0.0,95.4925766,0,0.0,99999,0.050000001,0.0,99,[],0,1,0,1.0,1.0
3,17281,0,0,0.0,0.0,0.0,0,99999,0,0.0,0.0,0,0,0,0,12,0.0,0,0.0,0.0,0.0,3,0,-1.0,0.0,6.050990105,0,0.0,99999,0.050000001,0.0,99,[],0,1,0,1.0,1.0
3,27000,0,0,0.0,0.038129691,101.6434708,0,99999,0,0.0,4.530302525,0,0,0,0,12,289.9766235,0,0.0,0.0,5.27158165,3,0,0.250090063,396.1885071,0.0,0,3.0,99999,0.050000001,9.0,99,[],14,1,0,1.0,1.0
3,32559,0,0,0.0,0.0,0.0,0,99999,0,0.0,0.0,0,0,0,0,12,0.0,0,0.0,0.0,0.0,3,0,-1.0,0.0,56.27576828,0,0.0,99999,0.050000001,0.0,99,[],0,1,0,1.0,1.0
3,65004,0,0,0.0,0.0,0.0,0,99999,0,0.0,0.0,0,0,0,0,12,0.0,0,0.0,0.0,0.0,3,0,-1.0,0.0,78.28598022,0,0.0,99999,0.050000001,0.0,99,[],0,1,0,1.0,1.0
4,15467,0,0,0.0,0.0,30.29419708,0,99999,0,0.0,0.07474488,0,0,0,0,12,66.61682892,0,0.0,0.0,0.142905355,4,0,0.249990463,96.98577881,147.7975006,0,3.0,99999,0.050000001,9.0,99,[],14,1,0,1.0,1.0
4,16380,0,0,0.0,0.051713914,55.91552734,0,99999,0,0.0,1.367503405,0,0,0,0,12,141.6973877,0,0.0,0.0,2.533515215,4,0,0.250024438,199.0321198,81.83602142,0,3.0,99999,0.050000001,9.0,99,[],14,1,0,1.0,1.0
4,16381,0,0,0.0,0.0,48.13264847,0,99999,0,0.0,4.221128464,0,0,0,0,12,134.6782227,0,0.0,0.0,4.876625538,4,0,0.250020444,187.0320587,94.68041992,0,3.0,99999,0.050000001,9.0,99,[],14,1,0,1.0,1.0
4,17005,0,0,0.0,0.010333599,49.29513931,0,99999,0,0.0,1.778046608,0,0,0,0,12,122.2495651,0,0.0,0.0,3.690354824,4,0,0.250015795,173.3330688,96.55683899,0,3.0,99999,0.050000001,9.0,99,[],14,1,0,1.0,1.0
4,65000,0,0,0.0,0.0,0.0,0,99999,0,0.0,0.0,0,0,0,0,12,0.0,0,0.0,0.0,0.0,4,0,-1.0,0.0,132.1469574,0,0.0,99999,0.050000001,0.0,99,[],0,1,0,1.0,1.0
