,scenario,description,speed,VMT_car,VMT_truck,op_cost_car,op_cost_truck
0,sample,a.m. peak,626576.52,9765255.2459,1168033.5474,4326933.84846,756380.126391
1,sample,evening thing,656352.89,14419346.8841,1322819.656,6229051.30606,834431.930315
2,sample,mid-day thing,632970.48,22730645.3432,2521578.7157,9927726.80738,1614815.87558
3,sample,p.m. peak,595288.92,14870693.0409,991658.2614,6703371.85281,655009.358668
