a,b,distance,dircode,time,congtime,area_type,facl_type,num_lanes,capacity,twoway,vol_total,trk_vol
5026,5023,0.25,1,0.4,0.41,31,23,2,21820,2,7424.49,465
5026,5028,0.14,2,0.22,0.23,31,23,2,21820,2,10241.27,621
5027,5022,0.31,1,0.49,0.49,31,31,1,24092,2,3337.75,346
5027,5057,1.94,2,3.06,3.07,31,31,1,24092,2,6516.15,425
5028,5026,0.14,1,0.22,0.23,31,23,2,21820,2,10320.13,544
5028,5029,0.37,2,0.58,0.61,31,23,2,21820,2,9880.32,609
5029,5028,0.37,1,0.58,0.61,31,23,2,21820,2,9975.48,536
5029,5031,0.27,2,0.42,0.42,31,23,3,32730,2,9471.38,735
5029,5033,0.26,2,0.41,0.43,31,23,2,21820,2,9807.86,609
5030,5021,1.44,1,2.21,2.21,52,43,1,4942,2,642.59,101
5030,5036,0.66,2,1.02,1.02,52,43,1,4942,2,643.41,108
5031,5029,0.27,1,0.42,0.43,31,23,3,32730,2,10255.76,710
5031,5032,0.16,2,0.26,0.26,31,23,3,32730,2,10077.69,780
5032,5031,0.16,1,0.26,0.26,31,23,3,32730,2,10973.35,754
5032,5038,1.26,2,1.99,2.08,31,23,2,21820,2,10032.75,811
5033,5029,0.26,1,0.41,0.42,31,23,2,21820,2,9175.97,558
5033,5034,0.26,2,0.4,0.43,31,23,2,21820,2,10885.77,636
5034,5033,0.26,1,0.4,0.42,31,23,2,21820,2,10212.87,581
5034,5039,0.25,2,0.4,0.42,31,23,2,21820,2,9910.5,613
5034,8850,1.7,2,3.29,3.29,31,42,1,11285,2,1334.04,27
5035,5024,1.49,2,1.37,1.45,32,12,3,76459,0,35751.66,5489.89
5036,5030,0.66,1,1.02,1.02,52,43,1,4942,2,642.59,101
5036,5082,2.87,2,4.41,4.41,52,43,1,4942,2,1152.47,145
5037,5047,0.5,1,0.46,0.52,31,12,3,89952,0,29667.16,4191.89
5037,5050,0.63,1,1.26,1.26,31,71,1,21028,0,5414.13,1219
5038,5032,1.26,1,1.99,2.13,31,23,2,21820,2,10939.34,782
5038,5040,0.26,2,0.42,0.44,31,23,2,21820,2,10032.75,811
5039,5034,0.25,1,0.4,0.41,31,23,2,21820,2,9398.27,540
5039,5049,0.5,2,0.79,0.81,31,23,2,21820,2,8269.18,501
5040,5038,0.26,1,0.42,0.45,31,23,2,21820,2,10939.34,782
5040,5041,0.5,2,0.79,0.85,31,23,2,21820,2,11457.36,913
5041,5040,0.5,1,0.79,0.87,31,23,2,21820,2,12352.2,892
5041,5042,0.12,2,0.2,0.23,31,23,2,21820,2,14434.67,1096
5041,8906,0.47,2,0.94,0.95,31,43,1,8618,2,3447.45,191
5042,5041,0.12,1,0.2,0.25,31,23,2,21820,2,15490.86,1078
5042,5043,0.1,2,0.15,0.18,31,23,2,21820,2,15455.61,1227
5043,5042,0.1,1,0.15,0.19,31,23,2,21820,2,16522.5,1203
5043,5044,0.15,2,0.23,0.28,31,23,2,21820,2,15455.61,1227
5044,5035,0.47,2,0.94,0.94,31,71,1,21028,0,5495.39,1288
5044,5043,0.15,1,0.23,0.24,31,23,2,21820,2,9602.78,711
5044,5046,0.11,2,0.17,0.19,31,23,2,21820,2,14031.26,822
5045,5035,0.48,2,0.45,0.51,31,12,3,89952,0,30256.28,4201.89
5045,5046,0.36,2,0.86,1.18,31,72,1,11031,0,9893.08,913
5046,5044,0.11,1,0.17,0.19,31,23,2,21820,2,13673.82,1594
5046,5048,0.12,2,0.2,0.37,31,23,2,21820,2,23924.34,1735
5047,5054,0.38,1,0.35,0.4,31,12,3,89952,0,35401.68,4607.89
5048,5046,0.12,1,0.2,0.22,31,23,2,21820,2,13673.82,1594
5048,5047,0.39,1,0.94,1.01,31,72,1,11031,0,5734.52,416
5048,5050,0.14,2,0.23,0.3,31,23,2,21820,2,18189.82,1319
5049,5039,0.5,1,0.79,0.8,31,23,2,21820,2,7899.67,437
5049,5053,0.32,2,0.5,0.51,31,23,2,21820,2,8229.62,479
5050,5048,0.14,1,0.23,0.26,31,23,2,21820,2,13673.82,1594
5050,5051,0.25,2,0.39,0.65,31,23,2,21820,2,22531.75,2234
5051,5050,0.25,1,0.39,0.43,31,23,2,21820,2,12601.61,1290
5051,5052,0.06,2,0.1,0.17,31,23,2,21820,2,22531.75,2234
5051,5054,0.55,1,1.1,1.14,31,71,1,21028,0,10377.13,1117
5052,5051,0.06,1,0.1,0.18,31,23,2,21820,2,22978.75,2407
5052,5056,0.63,2,1,1.25,31,23,2,21820,2,16717.1,1734
5052,5058,0.32,2,0.51,0.52,31,23,2,21820,2,6897.7,537
5053,5049,0.32,1,0.5,0.51,31,23,2,21820,2,7718.2,404
5053,5060,0.46,2,0.9,0.9,31,42,1,11285,2,2568.06,110
5053,5065,0.75,2,1.18,1.23,31,23,2,21820,2,9775.93,588
5054,5075,1.25,1,1.16,1.39,31,12,3,89952,0,45778.81,5724.89
5055,5043,0.63,2,1.26,1.28,31,71,1,21028,0,6919.72,492
5055,5045,0.43,2,0.4,0.46,31,12,3,89952,0,40149.36,5114.89
5056,5052,0.63,1,1,1.25,31,23,2,21820,2,16588.97,1872
5056,5059,0.22,2,0.34,0.62,31,23,2,21820,2,23060.06,1901
5057,5027,1.94,1,3.06,3.07,31,31,1,24092,2,6792.48,450
5057,5069,0.79,2,1.25,1.4,31,23,1,10871,2,6516.15,425
5058,5052,0.32,1,0.51,0.52,31,23,2,21820,2,7472.83,572
5058,5067,0.95,2,1.5,1.5,31,23,2,21820,2,740,35
5059,5056,0.22,1,0.34,0.61,31,23,2,21820,2,22895.77,2057
5059,5062,0.3,2,0.47,0.85,31,23,2,21820,2,23060.06,1901
5060,5053,0.46,1,0.9,0.9,31,42,1,11285,2,2520.55,121
5060,5061,0.27,2,0.52,0.52,31,42,1,11285,2,3123.23,170
5061,5060,0.27,1,0.52,0.52,31,42,1,11285,2,3052.06,168
5061,5064,0.5,2,0.97,0.97,31,42,1,11285,2,3322.56,106
5062,5059,0.3,1,0.47,0.84,31,23,2,21820,2,22895.77,2057
5062,5063,0.4,2,0.63,0.99,31,23,2,21820,2,21005.9,1633
5063,5062,0.4,1,0.63,1.02,31,23,2,21820,2,21526.57,1777
5063,5066,0.65,2,1.03,1.44,31,23,2,21820,2,18958.53,1411
5064,5061,0.5,1,0.97,0.97,31,42,1,11285,2,3181.93,97
5064,8849,0.6,2,1.16,1.16,31,42,1,11285,2,2554.78,89
5065,5053,0.75,1,1.18,1.22,31,23,2,21820,2,9312.02,502
5065,5072,0.49,2,0.77,0.81,31,23,2,21820,2,10205.75,632
5066,5063,0.65,1,1.03,1.5,31,23,2,21820,2,19826.34,1550
5066,5069,0.37,2,0.59,0.66,31,23,2,21820,2,13254.78,1065
5067,5058,0.95,1,1.5,1.5,31,23,2,21820,2,867.03,41
5067,5076,0.44,2,0.7,0.7,31,23,2,21820,2,1930.68,77
5068,5071,0.69,2,1.33,1.33,31,42,1,11285,2,2748.1,75
5068,8849,0.43,1,0.83,0.83,31,42,1,11285,2,2377.91,58
5069,5057,0.79,1,1.25,1.42,31,23,1,10871,2,6792.48,450
5069,5066,0.37,1,0.59,0.68,31,23,2,21820,2,14103.45,1158
5069,5070,0.23,2,0.37,0.39,31,23,1,10871,2,4830.09,270
5069,5073,0.64,2,1.07,1.23,31,32,1,13796,2,9809.09,796
5070,5069,0.23,1,0.37,0.4,31,23,1,10871,2,5919.64,347
5070,5090,1.72,2,2.87,2.9,31,32,1,13796,2,4830.09,270
5071,5068,0.69,1,1.33,1.33,31,42,1,11285,2,2414.91,61
5071,5076,0.32,2,0.63,0.63,31,42,1,11285,2,2748.1,75
5072,5065,0.49,1,0.77,0.8,31,23,2,21820,2,9784.36,544
5072,5079,0.55,2,0.87,0.91,31,23,2,21820,2,10343.39,651
5073,5069,0.64,1,1.07,1.24,31,32,1,13796,2,9844.53,837
5073,5077,0.34,2,0.57,0.62,31,32,1,13796,2,8530.76,725
5074,5055,1.22,2,1.12,1.37,31,12,3,89952,0,47069.08,5606.89
5075,5102,2.62,1,2.42,2.77,32,12,3,76459,0,45778.81,5724.89
5076,5067,0.44,1,0.7,0.7,31,23,2,21820,2,2473.59,84
5076,5071,0.32,1,0.63,0.63,31,42,1,11285,2,2414.91,61
5076,5078,0.11,2,0.22,0.22,31,42,1,11285,2,1596.71,54
5077,5073,0.34,1,0.57,0.62,31,32,1,13796,2,8585.26,767
5077,5080,0.94,2,1.57,1.71,31,32,1,13796,2,8530.76,725
5078,5076,0.11,1,0.22,0.22,31,42,1,11285,2,1806.42,47
5078,5085,1.43,2,2.77,2.77,31,42,1,11285,2,1596.71,54
5079,5072,0.55,1,0.87,0.91,31,23,2,21820,2,10002.79,557
5079,5083,0.4,2,0.63,0.66,31,23,2,21820,2,10343.39,651
5080,5077,0.94,1,1.57,1.72,31,32,1,13796,2,8585.26,767
5080,5082,0.47,2,0.79,0.8,31,32,1,13796,2,4839.52,574
5081,5124,4.01,2,5.23,5.23,52,31,1,13527,2,1473.54,257
5082,5036,2.87,1,4.41,4.41,52,43,1,4942,2,1171.54,136
5082,5080,0.47,1,0.79,0.8,31,32,1,13796,2,5026.79,628
5082,5087,1.38,2,1.8,1.81,52,31,1,13527,2,4455.52,525
5083,5079,0.4,1,0.63,0.66,31,23,2,21820,2,10002.79,557
5083,5084,0.28,2,0.43,0.45,31,23,2,21820,2,10434.11,666
5084,5083,0.28,1,0.43,0.45,31,23,2,21820,2,10101.46,579
5084,5092,0.54,2,0.85,0.9,31,23,2,21820,2,11075.19,691
5085,5078,1.43,1,2.77,2.77,31,42,1,11285,2,1806.42,47
5085,5088,0.33,2,0.64,0.64,31,42,1,11285,2,1596.71,54
5086,5087,0.29,1,0.38,0.38,52,31,1,13527,2,3553.2,488
5086,5091,1.58,2,2.07,2.07,52,31,1,13527,2,2833.05,374
5087,5082,1.38,1,1.8,1.82,52,31,1,13527,2,4661.86,570
5087,5086,0.29,2,0.38,0.38,52,31,1,13527,2,3444.8,447
5087,5112,2.41,2,3.71,3.74,52,43,1,4942,2,1694.84,143
5088,5085,0.33,1,0.64,0.64,31,42,1,11285,2,1806.42,47
5088,5089,0.38,2,0.74,0.74,31,42,1,11285,2,1594.28,47
5089,5088,0.38,1,0.74,0.74,31,42,1,11285,2,1818.3,44
5089,5090,0.56,2,1.09,1.1,31,42,1,11285,2,4050.4,148
5090,5070,1.72,1,2.87,2.93,31,32,1,13796,2,5919.64,347
5090,5089,0.56,1,1.09,1.1,31,42,1,11285,2,4565.52,179
5090,5097,0.53,2,0.89,0.97,31,32,1,13796,2,8199.45,388
5091,5086,1.58,1,2.07,2.07,52,31,1,13527,2,2958.98,420
5091,5095,0.93,2,1.21,1.21,52,31,1,13527,2,1443.38,220
5092,5084,0.54,1,0.85,0.9,31,23,2,21820,2,10832.06,612
5092,5093,0.32,2,0.51,0.54,31,23,2,21820,2,11075.19,691
5093,5092,0.32,1,0.51,0.54,31,23,2,21820,2,10832.06,612
5093,5098,0.45,1,0.88,0.89,31,42,2,23051,2,9707.87,477
5093,5103,0.76,2,1.2,1.3,31,23,2,21820,2,11600.5,828
5094,5096,1.11,1,2.14,2.16,31,42,2,23051,2,8681.15,436
5094,5098,0.59,2,1.15,1.16,31,42,2,23051,2,8258.28,466
5095,5091,0.93,1,1.21,1.21,52,31,1,13527,2,1604.87,254
5095,5100,0.58,2,0.75,0.75,52,31,1,13527,2,1443.38,220
5096,5094,1.11,2,2.14,2.16,31,42,2,23051,2,8258.28,466
5097,5090,0.53,1,0.89,1.03,31,32,1,13796,2,9804.12,496
5097,5099,0.18,2,0.31,0.36,31,32,1,13796,2,9317.95,485
5098,5093,0.45,2,0.88,0.89,31,42,2,23051,2,9210.56,511
5098,5094,0.59,1,1.15,1.16,31,42,2,23051,2,8681.15,436
5099,5097,0.18,1,0.31,0.39,31,32,1,13796,2,10964.58,588
5099,5104,0.68,2,1.13,1.3,31,32,1,13796,2,9317.95,485
5100,5095,0.58,1,0.75,0.75,52,31,1,13527,2,1604.87,254
5100,5105,1.78,2,2.32,2.32,52,31,1,13527,2,1454.6,222
5101,5074,2.63,2,2.43,2.83,32,12,3,76459,0,47069.08,5606.89
5102,5107,0.6,1,0.56,0.64,32,12,3,76459,0,45778.81,5724.89
5103,5093,0.76,1,1.2,1.3,31,23,2,21820,2,11851.89,715
5103,5109,0.65,2,1.02,1.1,31,23,2,21820,2,11600.5,828
5104,5099,0.68,1,1.13,1.41,31,32,1,13796,2,10964.58,588
5104,5108,0.48,2,0.79,0.94,31,32,1,13796,2,9813.45,550
5105,5100,1.78,1,2.32,2.32,52,31,1,13527,2,1618.21,255
5105,5124,2.76,2,3.6,3.6,52,31,1,13527,2,1755.95,279
5106,5101,0.6,2,0.56,0.65,32,12,3,76459,0,47069.08,5606.89
5107,5116,0.56,1,0.52,0.59,32,12,3,76459,0,45778.81,5724.89
5108,5104,0.48,1,0.79,1.01,31,32,1,13796,2,11562,619
5108,5110,0.14,2,0.24,0.32,31,32,1,13796,2,11215.11,608
5109,5103,0.65,1,1.02,1.11,31,23,2,21820,2,11851.89,715
5109,5111,0.34,2,0.54,0.8,31,23,2,21820,2,20106.06,1407
5110,5108,0.14,1,0.24,0.35,31,32,1,13796,2,13032.43,689
5110,5114,0.91,2,1.77,1.77,31,42,1,11285,2,270.66,2
5110,5119,0.76,2,1.27,1.28,31,32,3,41440,2,11434.05,609
5111,5109,0.34,1,0.54,0.83,31,23,2,21820,2,20481.26,1309
5111,5115,0.43,2,0.68,0.76,31,23,2,21820,2,13718.31,1108
5111,5136,0.93,2,1.42,1.55,32,23,2,21820,2,11917.77,784
5112,5087,2.41,1,3.71,3.74,52,43,1,4942,2,1792.78,147
5112,5143,1.56,2,3.13,3.14,33,43,1,8007,2,2164.39,154
5113,5106,0.51,2,0.47,0.55,32,12,3,76459,0,47069.08,5606.89
5114,5110,0.91,1,1.77,1.77,31,42,1,11285,2,354.03,5
5114,5129,1.12,2,2.17,2.17,33,42,1,10009,2,866.89,47
5115,5111,0.43,1,0.68,0.77,31,23,2,21820,2,14039.6,1096
5115,5117,0.33,2,0.52,0.58,31,23,2,21820,2,13718.31,1108
5116,5128,0.4,1,0.37,0.43,31,12,3,89952,0,39775.04,4999.89
5116,5130,0.47,1,0.94,0.94,31,71,1,21028,0,6003.77,725
5117,5115,0.33,1,0.52,0.59,31,23,2,21820,2,14039.6,1096
5117,5118,0.25,2,0.4,0.46,31,23,2,21820,2,14583.57,1108
5118,5117,0.25,1,0.4,0.46,31,23,2,21820,2,14875.44,1096
5118,5122,0.5,2,0.8,0.97,31,23,2,21820,2,16041.81,1222
5119,5110,0.76,1,1.27,1.28,31,32,3,41440,2,13168,687
5119,5132,0.2,2,0.33,0.33,31,32,3,41440,2,11938.35,606
5120,5113,0.41,2,0.83,0.83,31,71,1,21028,0,5570.65,702
5121,5123,0.05,1,0.13,0.14,31,72,1,11031,0,6267.73,528
5121,5126,0.08,1,0.19,0.23,31,72,1,11031,0,7961.68,650
5122,5118,0.5,1,0.8,0.98,31,23,2,21820,2,16532.03,1199
5122,5120,0.06,2,0.12,0.12,31,71,1,21028,0,5570.65,702
5122,5123,0.01,2,0.02,0.02,31,23,2,21820,2,13937.37,905
5123,5122,0.01,1,0.02,0.03,31,23,2,21820,2,19998.24,1584
5123,5126,0.06,2,0.09,0.1,31,23,2,21820,2,13937.37,905
5124,5081,4.01,1,5.23,5.23,52,31,1,13527,2,1473.5,235
5124,5105,2.76,1,3.6,3.6,52,31,1,13527,2,1932.72,320
5124,5141,1.56,2,2.03,2.03,52,31,1,13527,2,992,159
5124,5169,1.95,2,2.54,2.54,52,31,1,13527,2,2212.57,485
5125,5128,0.22,1,0.53,1.3,31,72,1,11031,0,13024.72,1171
5126,5123,0.06,1,0.09,0.1,31,23,2,21820,2,13730.5,1056
5126,5131,0.15,2,0.24,0.39,31,23,2,21820,2,21899.05,1555
5127,5113,0.46,2,0.42,0.5,31,12,3,89952,0,41498.43,4904.89
5127,5121,0.25,2,0.59,1.61,31,72,1,11031,0,14229.41,1178
5128,5159,1.35,1,1.25,1.57,31,12,3,89952,0,52799.77,6170.89
5129,5114,1.12,1,2.17,2.17,33,42,1,10009,2,975.1,56
5129,5142,1.78,2,3.45,3.45,33,42,1,10009,2,410.52,19
5130,5134,0.04,1,0.08,0.08,31,71,1,21028,0,6003.77,725
5131,5125,0.13,1,0.31,0.32,31,72,1,11031,0,5763.74,507
5131,5126,0.15,1,0.24,0.27,31,23,2,21820,2,13730.5,1056
5131,5133,0.08,2,0.13,0.16,31,23,2,21820,2,16135.31,1048
5132,5119,0.2,1,0.33,0.33,31,32,3,41440,2,13806.46,690
5132,5139,0.55,2,0.92,0.95,31,32,3,41440,2,18745.99,1037
5133,5125,0.09,1,0.22,0.26,31,72,1,11031,0,7260.99,664
5133,5131,0.08,1,0.13,0.15,31,23,2,21820,2,13730.5,1056
5133,5134,0.02,2,0.03,0.04,31,23,2,21820,2,16135.31,1048
5134,5133,0.02,1,0.03,0.05,31,23,2,21820,2,20991.49,1720
5134,5135,0.43,2,0.67,1.04,31,23,2,21820,2,20120.09,1477
5135,5134,0.43,1,0.67,0.97,31,23,2,21820,2,18972.5,1424
5135,5137,0.35,2,0.55,0.77,31,23,2,21820,2,18431.87,1329
5136,5111,0.93,1,1.42,1.57,32,23,2,21820,2,11971.68,698
5136,5144,0.59,2,0.91,0.99,32,23,2,21820,2,12063.76,855
5137,5135,0.35,1,0.55,0.73,31,23,2,21820,2,17250.29,1282
5137,5139,0.41,2,0.65,0.8,31,23,2,21820,2,15940.26,1166
5138,5140,0.74,1,1.42,1.42,33,42,1,10009,2,2266.89,168
5138,5143,0.55,2,1.07,1.07,33,42,1,10009,2,2372.24,146
5139,5132,0.55,1,0.92,0.96,31,32,3,41440,2,20996.36,1141
5139,5137,0.41,1,0.65,0.78,31,23,2,21820,2,14886.01,1113
5139,5145,0.29,2,0.49,0.49,31,32,3,41440,2,11997.73,534
5139,5146,0.68,2,1.08,1.1,31,23,2,21820,2,6600.33,379
5140,5138,0.74,2,1.42,1.42,33,42,1,10009,2,2372.24,146
5140,5142,0.17,1,0.32,0.32,33,42,1,10009,2,2329.5,148
5141,5124,1.56,1,2.03,2.03,52,31,1,13527,2,956.76,136
5141,5161,1.76,2,2.3,2.3,52,31,1,13527,2,813.81,129
5142,5129,1.78,1,3.45,3.45,33,42,1,10009,2,411.22,24
5142,5140,0.17,2,0.32,0.32,33,42,1,10009,2,2503.23,135
5142,5174,1.67,2,3.23,3.24,33,42,1,10009,2,1918.28,124
5143,5112,1.56,1,3.13,3.14,33,43,1,8007,2,2314.34,139
5143,5138,0.55,1,1.07,1.07,33,42,1,10009,2,2266.89,168
5143,5153,1.03,2,1.59,1.59,52,43,1,4942,2,820.96,67
5143,5162,0.75,2,1.5,1.5,33,43,1,8007,2,818.34,52
5144,5136,0.59,1,0.91,0.99,32,23,2,21820,2,12165.93,778
5144,5167,0.87,2,1.34,1.48,32,23,2,21820,2,12741.46,818
5145,5139,0.29,1,0.49,0.49,31,32,3,41440,2,13387.07,595
5145,5154,0.42,2,0.7,0.7,31,32,3,41440,2,12162.39,533
5146,5139,0.68,1,1.08,1.09,31,23,2,21820,2,6407.12,369
5146,5148,0.37,2,0.58,0.6,31,23,2,21820,2,8631.37,436
5147,5149,0.21,2,0.4,0.4,31,42,1,11285,2,3298.39,489
5147,5157,0.32,2,0.6,0.6,31,41,1,11846,2,3495.2,504
5148,5146,0.37,1,0.58,0.6,31,23,2,21820,2,8429.63,423
5148,5156,0.64,2,1.01,1.03,31,23,2,21820,2,7017.87,309
5149,5147,0.21,1,0.4,0.4,31,42,1,11285,2,3495.2,504
5149,5152,0.3,2,0.59,0.59,31,42,1,11285,2,3707.95,422
5150,5152,0.09,1,0.17,0.17,31,42,1,11285,2,4287.22,434
5150,5155,0.28,2,0.55,0.56,31,42,1,11285,2,4536.63,426
5151,5202,2.45,2,2.94,3.1,31,17,2,50206,2,18283.86,2104
5151,11862,3.11,1,3.73,3.82,31,17,2,50206,2,17216.78,2111
5152,5149,0.3,1,0.59,0.59,31,42,1,11285,2,4127.93,427
5152,5150,0.09,2,0.17,0.17,31,42,1,11285,2,4536.63,426
5152,5164,0.39,2,0.78,0.78,31,43,1,8618,2,1320.17,66
5153,5143,1.03,1,1.59,1.59,52,43,1,4942,2,771.69,72
5153,5168,1.23,2,1.89,1.89,52,43,1,4942,2,820.96,67
5154,5145,0.42,1,0.7,0.71,31,32,3,41440,2,13469.19,595
5154,5172,0.55,2,0.92,0.93,31,32,3,41440,2,14519.53,610
5155,5150,0.28,1,0.55,0.56,31,42,1,11285,2,4287.22,434
5155,5173,0.62,2,1.2,1.25,31,42,1,11285,2,6040.55,502
5156,5148,0.64,1,1.01,1.03,31,23,2,21820,2,6755.76,300
5156,5171,0.55,2,0.91,0.97,31,32,1,13796,2,7017.87,309
5157,5147,0.32,1,0.6,0.6,31,41,1,11846,2,3298.39,489
5157,5170,0.46,2,0.87,0.88,31,41,1,11846,2,4723.96,875
5158,5127,1.35,2,1.24,1.63,31,12,3,89952,0,55727.84,6082.89
5159,5224,1.73,1,1.6,1.98,32,12,3,76459,0,52799.77,6170.89
5160,5163,0.21,1,0.33,0.33,31,23,2,21820,2,3681.73,732
5160,5173,1.04,2,1.64,1.64,31,23,2,21820,2,3372.7,722
5161,5141,1.76,1,2.3,2.3,52,31,1,13527,2,774.06,98
5161,5197,2.28,2,2.97,2.97,52,31,1,13527,2,888.4,169
5162,5143,0.75,1,1.5,1.5,33,43,1,8007,2,912.21,54
5162,5238,1.79,2,3.58,3.58,33,43,1,8007,2,818.34,52
5163,5160,0.21,2,0.33,0.33,31,23,2,21820,2,3372.7,722
5163,5165,0.38,1,0.6,0.6,31,23,2,21820,2,4108.8,784
5163,5180,0.5,2,0.99,0.99,31,43,1,8618,2,416.32,53
5164,5152,0.39,1,0.78,0.78,31,43,1,8618,2,1989.55,63
5164,5178,0.44,2,0.88,0.88,31,43,1,8618,2,1320.17,66
5165,5163,0.38,2,0.6,0.6,31,23,2,21820,2,3789.01,775
5165,5166,0.07,2,0.14,0.14,31,43,1,8618,2,3258.09,503
5166,5165,0.07,1,0.14,0.14,31,43,1,8618,2,3471.63,496
5166,5209,1.16,2,2.32,2.36,31,43,1,8618,2,3258.09,503
5167,5144,0.87,1,1.34,1.5,32,23,2,21820,2,12884.18,722
5167,5185,0.56,2,0.86,0.93,32,23,2,21820,2,11520.26,755
5168,5153,1.23,1,1.89,1.89,52,43,1,4942,2,771.69,72
5168,5184,1.07,2,1.64,1.64,52,43,1,4942,2,1138.05,108
5169,5124,1.95,1,2.54,2.54,52,31,1,13527,2,2424.54,527
5169,5259,2.05,2,2.68,2.68,52,31,1,13527,2,2506.92,665
5170,5157,0.46,1,0.87,0.88,31,41,1,11846,2,4619.86,844
5170,5181,0.32,2,0.6,0.65,31,41,1,11846,2,8153.61,1173
5171,5156,0.55,1,0.91,0.96,31,32,1,13796,2,6755.76,300
5171,5192,0.94,2,1.56,1.56,31,32,1,13796,2,2764.71,123
5172,5154,0.55,1,0.92,0.93,31,32,3,41440,2,16059.64,663
5172,5176,0.14,2,0.24,0.24,31,32,3,41440,2,15376.08,641
5173,5155,0.62,1,1.2,1.24,31,42,1,11285,2,6055.86,522
5173,5160,1.04,1,1.64,1.64,31,23,2,21820,2,3681.73,732
5173,5179,0.2,2,0.31,0.32,31,23,2,21820,2,9777.31,1020
5173,5182,0.3,2,0.57,0.57,31,41,1,11846,2,3116.39,272
5174,5142,1.67,1,3.23,3.23,33,42,1,10009,2,2092.71,116
5174,5192,0.7,2,1.36,1.36,33,42,1,10009,2,1918.28,124
5175,5177,0.24,1,0.51,0.51,31,44,1,8511,2,2065,99
5175,5205,2.07,2,4.44,4.44,31,44,1,8511,2,313.38,16
5176,5172,0.14,1,0.24,0.24,31,32,3,41440,2,16500.74,688
5176,5177,0.5,2,1.07,1.07,31,44,2,17511,2,573.62,0
5176,5183,0.19,2,0.32,0.32,31,32,3,41440,2,14802.46,641
5177,5175,0.24,2,0.51,0.51,31,44,1,8511,2,573.62,0
5177,5176,0.5,1,1.07,1.07,31,44,2,17511,2,2065,99
5178,5164,0.44,1,0.88,0.88,31,43,1,8618,2,1989.55,63
5178,5188,0.32,2,0.65,0.66,31,43,1,8618,2,2216.09,134
