a,b,distance,dircode,time,congtime,area_type,facl_type,num_lanes,capacity,twoway,vol_total,trk_vol
5001,18007,1.5,2,1.38,2.37,52,92,2,33296,0,30831.12,3975
5002,5004,2.59,1,2.39,3.95,52,92,2,33296,0,30016.51,3919
5003,5001,2.59,2,2.39,4.11,52,92,2,33296,0,30831.12,3975
5004,10004,0.34,1,0.31,0.46,32,92,2,36149,0,30016.51,3919
5005,5006,0.98,2,1.07,1.07,52,21,2,28465,2,5460.94,585
5005,18064,0.33,1,0.46,0.46,33,21,2,37026,2,5142.34,517
5006,5005,0.98,1,1.07,1.07,52,21,2,28465,2,5142.34,517
5006,5007,4.23,2,6.51,6.51,52,43,1,4942,2,316.58,22
5006,5010,2.31,2,3.22,3.22,33,21,2,37026,2,5340.45,570
5007,5006,4.23,1,6.51,6.51,52,43,1,4942,2,297.17,22
5007,5008,1.61,2,2.48,2.48,52,43,1,4942,2,474.65,36
5008,5007,1.61,1,2.48,2.48,52,43,1,4942,2,438.29,35
5008,5009,0.6,2,0.92,0.92,52,43,1,4942,2,474.65,36
5009,5008,0.6,1,0.92,0.92,52,43,1,4942,2,438.29,35
5009,5014,0.89,2,1.38,1.38,52,43,1,4942,2,474.65,36
5010,5006,2.31,1,3.22,3.22,33,21,2,37026,2,5041.26,502
5010,5015,0.8,2,1.15,1.15,31,21,2,39091,2,6754.54,604
5011,5018,1.16,2,1.83,1.83,31,31,1,24092,2,1721.89,286
5011,18070,1.43,1,1.91,1.91,51,31,1,13706,2,1777.99,302
5012,18068,1.97,2,1.69,2.4,52,12,3,44230,0,35751.66,5489.89
5013,5025,2.49,1,2.3,2.43,32,12,3,76459,0,35081.29,5410.89
5014,5009,0.89,1,1.38,1.38,52,43,1,4942,2,438.29,35
5014,5016,0.82,2,1.26,1.26,52,43,1,4942,2,474.65,36
5015,5010,0.8,1,1.15,1.15,31,21,2,39091,2,6527.99,528
5015,5017,0.84,2,1.2,1.21,31,21,2,39091,2,8809.38,610
5016,5014,0.82,1,1.26,1.26,52,43,1,4942,2,438.29,35
5016,5018,1.7,2,2.83,2.86,51,43,1,5167,2,1922.95,123
5017,5015,0.84,1,1.2,1.2,31,21,2,39091,2,8745.36,529
5017,5019,1.23,2,1.75,1.76,31,21,2,39091,2,8809.38,610
5018,5011,1.16,1,1.83,1.83,31,31,1,24092,2,1777.99,302
5018,5016,1.7,1,2.83,2.86,51,43,1,5167,2,1993.56,124
5018,5022,1.48,2,2.34,2.34,31,31,1,24092,2,3211.04,329
5019,5017,1.23,1,1.75,1.76,31,21,2,39091,2,8745.36,529
5019,5020,0.34,2,0.54,0.56,31,23,2,21820,2,8809.38,610
5020,5019,0.34,1,0.54,0.55,31,23,2,21820,2,8745.36,529
5020,5023,0.27,2,0.42,0.43,31,23,2,21820,2,8406.67,557
5021,5030,1.44,2,2.21,2.21,52,43,1,4942,2,643.41,108
5022,5018,1.48,1,2.34,2.34,31,31,1,24092,2,3337.75,346
5022,5027,0.31,2,0.49,0.49,31,31,1,24092,2,3211.04,329
5023,5020,0.27,1,0.42,0.43,31,23,2,21820,2,8353.27,497
5023,5026,0.25,2,0.4,0.41,31,23,2,21820,2,7471.73,519
5024,5012,2.48,2,2.29,2.43,32,12,3,76459,0,35751.66,5489.89
5025,5037,1.47,1,1.36,1.44,32,12,3,76459,0,35081.29,5410.89
