hbwprh
327.615172008
1017.21443214
387.178290266
680.873412084
698.321579009
200.469837888
830.507964727
80.7182170099
0.000568431236016
1211.36004874
428.28893608
353.800912541
674.704241742
1804.44673234
1095.03935934
636.416577979
3502.08163438
1804.51307335
1225.54767353
2311.56144747
1199.36119982
224.141448785
1370.05612271
1361.60390468
1783.62178797
