ID,district,CBD,minority,lowengpro,age18or65,lowinc,minority_zone,lowengpro_zone,age18or65_zone,lowinc_zone,County,termini,Beaverton,Clackamas,ClarkCounty,ColumbiaCounty,Damascus,External,FairviewtoWoodVillagetoTroutdale,ForestGrove,Gateway,Gresham,HappyValley,Hillsboro,Lents,MilwaukietoLakeOswego,PortlandCentralCity,Rivergate,SherwoodtoNewberg,Tigard,Tualatin,Vancouver,WestLinntoOregonCity,WillametteValley,Wilsonville
1,CBD,1,0,0,0,0,0,0,0,0,Multnomah,PortlandCentralCity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2,CBD,1,0.224719101,0.061797753,0.224719101,0.857272759,1,0,1,1,Multnomah,PortlandCentralCity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
3,CBD,1,0.2,0,0.2,0.857272759,0,0,0,1,Multnomah,PortlandCentralCity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
4,CBD,1,0.218556701,0.053608247,0.220618557,0.783596411,1,0,1,1,Multnomah,PortlandCentralCity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
5,CBD,1,0.189003436,0.021764032,0.184421535,0.628201698,0,0,0,1,Multnomah,PortlandCentralCity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
6,CBD,1,0,0,0,0,0,0,0,0,Multnomah,PortlandCentralCity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
7,CBD,1,0.220454545,0.055681818,0.221590909,0.816519125,1,0,1,1,Multnomah,PortlandCentralCity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
8,CBD,1,0.212121212,0.060606061,0.242424242,0.857272759,1,0,1,1,Multnomah,PortlandCentralCity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
9,CBD,1,0,0,0,0,0,0,0,0,Multnomah,PortlandCentralCity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
10,CBD,1,0.27284345,0.095846645,0.16485623,0.475689423,1,0,0,1,Multnomah,PortlandCentralCity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
11,CBD,1,0.308219178,0.068493151,0.215753425,0.276656819,1,0,1,1,Multnomah,PortlandCentralCity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
12,CBD,1,0.337278107,0.035502959,0.230769231,0.092706571,1,0,1,0,Multnomah,PortlandCentralCity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
13,CBD,1,0.26832018,0.114994363,0.196166855,0.47089154,1,0,0,1,Multnomah,PortlandCentralCity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
14,CBD,1,0.317750183,0.057706355,0.218407597,0.1726173,1,0,1,0,Multnomah,PortlandCentralCity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
15,CBD,1,0.338095238,0.033333333,0.228571429,0.092114881,1,0,1,0,Multnomah,PortlandCentralCity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
16,CBD,1,0.337209302,0.034883721,0.227906977,0.092706571,1,0,1,0,Multnomah,PortlandCentralCity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
17,CBD,1,0.160808436,0.005711775,0.194639719,0.308396896,0,0,0,1,Multnomah,PortlandCentralCity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
18,CBD,1,0.173669468,0.008403361,0.212885154,0.356777359,0,0,1,1,Multnomah,PortlandCentralCity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
19,CBD,1,0.144989339,0.002132196,0.172707889,0.214492498,0,0,0,1,Multnomah,PortlandCentralCity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
20,CBD,1,0.17481203,0.009398496,0.214285714,0.336693205,0,0,1,1,Multnomah,PortlandCentralCity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
21,CBD,1,0.175531915,0.008865248,0.214539007,0.356777359,0,0,1,1,Multnomah,PortlandCentralCity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
22,CBD,1,0.17535545,0.009478673,0.213270142,0.356777359,0,0,1,1,Multnomah,PortlandCentralCity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
23,CBD,1,0.141772152,0.002531646,0.167088608,0.229233451,0,0,0,1,Multnomah,PortlandCentralCity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
24,CBD,1,0.175409836,0.008196721,0.213114754,0.356777359,0,0,1,1,Multnomah,PortlandCentralCity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
25,CBD,1,0.17535545,0.008530806,0.214218009,0.356777359,0,0,1,1,Multnomah,PortlandCentralCity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
