a,b,link_id,link_id2,distance,dircode,time,congtime,area_type,facl_type,num_lanes,capacity,twoway,location,screenline,zone,constructn,ccc,evac,corridor,c_segment,cosite,aadt,pswadt,auto,lt_trk,hy_trk,pddir_cnt,pdtrk_dir,dir_count,dltrk_dir,vol_total,trk_vol,vht,cht,vht1,cht1,trk_pct,spd_lnk,spd_lnk2,speed_org,speed_cng,uroadfactor,confactor,anode,bnode
5001,18007,500118007,0500118007,1.5,2,1.38,1.81,52,92,2,5061,0,6,99,0,0,1,0,0,0,X,0,0,0,0,0,0,0,0,0,3784.5,723.47,87.04,0,114.46,153.07,19.12,0,0,65,49.6,.7,.4521,5001,18007
5002,5004,500205004,0500205004,2.59,1,2.39,4.51,52,92,2,5061,0,1,99,0,0,1,0,0,0,X,0,0,0,0,0,0,0,0,0,5084.69,715.47,202.54,0,381.91,380.12,14.07,0,0,65,34.48,.7,.4521,5002,5004
5003,5001,500305001,0500305001,2.59,2,2.39,3.14,52,92,2,5061,0,1,99,0,0,1,0,0,0,X,0,0,0,0,0,0,0,0,0,3784.5,723.47,150.75,0,198.24,265.1,19.12,0,0,65,49.43,.7,.4521,5001,5003
5004,10004,500410004,0500410004,.34,1,.31,.52,32,92,2,5494,0,2,2,0,0,1,0,0,0,FD_150088,43000,47500,4803,103,111,5016,214,23410,1411,5084.69,715.47,26.27,25.92,43.72,47.24,14.07,0,0,65,39.02,.7,.4521,5004,10004
5005,5006,500505006,0500505006,.98,2,1.07,1.07,52,21,2,4327,2,1,2,0,0,1,1,1,1001001,FD_105600,7500,8000,372,25,27,424,52,4046,437,689.79,122,12.3,7.56,12.31,77.23,17.69,0,0,55,54.72,.75,.4521,5005,5006
5005,18064,1806405005,1806405005,.33,1,.46,.46,33,21,2,5628,2,6,99,0,0,1,1,0,0,X,0,0,0,0,0,0,0,0,0,941.72,104,7.22,0,7.23,43.19,11.04,0,0,43,42.59,.75,.4521,5005,18064
5006,5005,500505006,0500505006,.98,1,1.07,1.07,52,21,2,4327,2,1,2,0,0,1,1,1,1001001,FD_105600,7500,8000,1105,44,43,1192,87,3954,440,941.72,104,16.79,21.26,16.84,77.36,11.04,0,0,55,54.62,.75,.4521,5005,5006
5006,5007,500605007,0500605007,4.23,2,6.51,6.51,52,43,1,751,2,1,99,0,0,0,0,0,0,X,0,0,0,0,0,0,0,0,0,29.76,5,3.23,0,3.23,81.51,16.8,0,0,39,38.98,.85,.4521,5006,5007
5006,5010,500605010,0500605010,2.31,2,3.22,3.22,33,21,2,5628,2,1,99,0,0,1,1,1,1001001,X,0,0,0,0,0,0,0,0,0,697.99,119,37.46,0,37.47,302.13,17.05,0,0,43,42.96,.75,.4521,5006,5010
5007,5006,500605007,0500605007,4.23,1,6.51,6.51,52,43,1,751,2,1,99,0,0,0,0,0,0,X,0,0,0,0,0,0,0,0,0,86.76,5,9.41,0,9.41,81.51,5.76,0,0,39,38.97,.85,.4521,5006,5007
5007,5008,500705008,0500705008,1.61,2,2.48,2.48,52,43,1,751,2,1,99,0,0,0,0,0,0,X,0,0,0,0,0,0,0,0,0,56.39,7,2.33,0,2.33,31.05,12.41,0,0,39,39.07,.85,.4521,5007,5008
5008,5007,500705008,0500705008,1.61,1,2.48,2.48,52,43,1,751,2,1,99,0,0,0,0,0,0,X,0,0,0,0,0,0,0,0,0,110.1,9,4.55,0,4.55,31.05,8.17,0,0,39,39.06,.85,.4521,5007,5008
5008,5009,500805009,0500805009,.6,2,.92,.92,52,43,1,751,2,1,99,0,0,0,0,0,0,X,0,0,0,0,0,0,0,0,0,56.39,7,.86,0,.86,11.52,12.41,0,0,39,38.98,.85,.4521,5008,5009
5009,5008,500805009,0500805009,.6,1,.92,.92,52,43,1,751,2,1,99,0,0,0,0,0,0,X,0,0,0,0,0,0,0,0,0,110.1,9,1.69,0,1.69,11.52,8.17,0,0,39,38.98,.85,.4521,5008,5009
5009,5014,500905014,0500905014,.89,2,1.38,1.38,52,43,1,751,2,1,99,0,0,0,0,0,0,X,0,0,0,0,0,0,0,0,0,56.39,7,1.3,0,1.3,17.28,12.41,0,0,39,38.9,.85,.4521,5009,5014
5010,5006,500605010,0500605010,2.31,1,3.22,3.22,33,21,2,5628,2,1,99,0,0,1,1,1,1001001,X,0,0,0,0,0,0,0,0,0,892.92,101,47.92,0,47.96,302.28,11.31,0,0,43,42.94,.75,.4521,5006,5010
5010,5015,501005015,0501005015,.8,2,1.15,1.15,31,21,2,5942,2,1,99,0,0,1,1,1,1001001,X,0,0,0,0,0,0,0,0,0,928.59,129,17.8,0,17.81,113.97,13.89,0,0,42,41.92,.75,.4521,5010,5015
5011,5018,501105018,0501105018,1.16,2,1.83,1.83,31,31,1,3662,2,1,2,0,0,1,1,62,1062001,FD_100085,3200,3400,180,12,9,202,21,1719,181,237.18,51,7.23,6.16,7.23,111.69,21.5,0,0,38,37.99,.75,.4521,5011,5018
5011,18070,1807005011,1807005011,1.43,1,1.91,1.91,51,31,1,2083,2,6,99,0,0,0,1,0,0,X,0,0,0,0,0,0,0,0,0,325.28,57,10.35,0,10.36,66.34,17.52,0,0,45,44.88,.75,.4521,5011,18070
5012,18068,501218068,0501218068,1.97,2,1.69,2.01,52,12,3,6723,0,1,2,0,0,1,1,51,1051001,FD_105601,53800,57000,4014,234,424,4672,658,29639,4265,5010.24,973.05,141.12,131.59,167.48,224.73,19.42,59,0,70,59.01,.7,.4521,5012,18068
5013,5025,501305025,0501305025,2.49,1,2.3,2.4,32,12,3,11621,0,1,99,0,0,1,1,51,1051001,X,0,0,0,0,0,0,0,0,0,5708.18,968.05,218.81,0,228.31,464.82,16.96,76,0,65,62.21,.7,.4521,5013,5025
5014,5009,500905014,0500905014,.89,1,1.38,1.38,52,43,1,751,2,1,99,0,0,0,0,0,0,X,0,0,0,0,0,0,0,0,0,110.1,9,2.53,0,2.53,17.28,8.17,0,0,39,38.9,.85,.4521,5009,5014
5014,5016,501405016,0501405016,.82,2,1.26,1.26,52,43,1,751,2,1,99,0,0,0,0,0,0,X,0,0,0,0,0,0,0,0,0,56.39,7,1.18,0,1.18,15.78,12.41,0,0,39,38.92,.85,.4521,5014,5016
